,Arts & Entertainment,Biography & Memoir,Business,Children’s Books,Classics,Cooking,"Crafts, Home & Garden",Fantasy,Games,Gothic & Horror,Graphic Novels & Manga,Health & Fitness,Historical Fiction,History,Humor,Literary Fiction,Military Fiction,Mystery & Suspense,Parenting,Pets,Poetry,Politics,Popular Science,Psychology,Reference,Religion & Philosophy,Romance,Science Fiction,Self-Improvement,Spiritual Fiction,Sports,Teen & Young Adult,Travel,Western Fiction,Women’s Fiction
Arts & Entertainment,0.78,0.02,0.01,0.07,0.01,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Biography & Memoir,0.02,0.47,0.01,0.08,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.06,0.0,0.12,0.0,0.05,0.0,0.0,0.01,0.03,0.01,0.0,0.0,0.03,0.01,0.0,0.02,0.0,0.01,0.02,0.0,0.0,0.01
Business,0.0,0.02,0.7,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.01,0.01,0.01,0.02,0.0,0.0,0.12,0.0,0.01,0.0,0.0,0.0,0.0
Children’s Books,0.0,0.0,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
Classics,0.03,0.05,0.0,0.12,0.46,0.0,0.0,0.01,0.0,0.0,0.02,0.01,0.0,0.02,0.0,0.13,0.0,0.02,0.0,0.0,0.02,0.01,0.0,0.01,0.01,0.07,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0
Cooking,0.0,0.0,0.0,0.02,0.0,0.95,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Crafts, Home & Garden",0.03,0.01,0.01,0.08,0.0,0.02,0.8,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
Fantasy,0.0,0.0,0.0,0.17,0.01,0.0,0.0,0.52,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.03,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.0,0.0,0.0,0.08,0.0,0.0,0.0
Games,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.6,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.13,0.0,0.02,0.0,0.0
Gothic & Horror,0.04,0.0,0.0,0.12,0.0,0.0,0.0,0.36,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0
Graphic Novels & Manga,0.0,0.0,0.0,0.13,0.0,0.0,0.0,0.02,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.02,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.03,0.0,0.0,0.0
Health & Fitness,0.02,0.02,0.0,0.01,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.77,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.01,0.02,0.03,0.0,0.05,0.0,0.0,0.03,0.0,0.01,0.01,0.0,0.0,0.0
Historical Fiction,0.0,0.04,0.0,0.11,0.0,0.0,0.0,0.01,0.0,0.0,0.04,0.0,0.05,0.02,0.0,0.48,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.04,0.0,0.02,0.01
History,0.01,0.07,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.65,0.0,0.02,0.0,0.03,0.0,0.0,0.0,0.05,0.02,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0
Humor,0.05,0.05,0.02,0.35,0.02,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.01,0.31,0.05,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.0,0.02,0.02,0.0,0.0
Literary Fiction,0.0,0.04,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.75,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.01
Military Fiction,0.0,0.0,0.0,0.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mystery & Suspense,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0
Parenting,0.0,0.08,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.01,0.0,0.0
Pets,0.0,0.0,0.0,0.19,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Poetry,0.01,0.02,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.83,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Politics,0.0,0.03,0.04,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.58,0.01,0.02,0.0,0.07,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
Popular Science,0.04,0.02,0.03,0.13,0.0,0.01,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.65,0.01,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Psychology,0.01,0.06,0.04,0.03,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.02,0.0,0.01,0.0,0.05,0.05,0.0,0.0,0.04,0.05,0.25,0.0,0.19,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0
Reference,0.02,0.01,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.02,0.03,0.01,0.73,0.01,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
Religion & Philosophy,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.86,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
Romance,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.05,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.72,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.02
Science Fiction,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.03,0.0,0.0,0.06,0.0,0.0,0.01,0.0,0.03,0.0,0.06,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.0,0.02,0.0,0.0,0.0
Self-Improvement,0.01,0.02,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.03,0.02,0.07,0.0,0.0,0.7,0.0,0.01,0.0,0.0,0.0,0.0
Spiritual Fiction,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.0,0.0,0.11,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.17,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.22
Sports,0.05,0.07,0.01,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.09,0.0,0.01,0.04,0.0,0.52,0.01,0.0,0.0,0.0
Teen & Young Adult,0.0,0.01,0.0,0.24,0.0,0.0,0.0,0.03,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.05,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.02,0.02,0.0,0.0,0.0,0.52,0.0,0.0,0.0
Travel,0.03,0.03,0.01,0.11,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.66,0.0,0.0
Western Fiction,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.0,0.02,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.82,0.0
Women’s Fiction,0.0,0.04,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.37,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.01,0.0,0.08,0.0,0.0,0.23
